id,district,incidence,rain,temp,pop_den,population
1457,Gampaha,164.4010195,352.74,23.08888889,1697.188176,2354000
1458,Hambantota,89.17197452,250.7771429,22.34090909,240.7052511,628000
1459,Jaffna,361.8090452,795.87,10.63636364,582.4390244,597000
1460,Kalutara,127.2,372,23.33962264,782.2277847,1250000
1461,Kandy,84.74576271,236.2610526,31.35483871,729.8969072,1416000
1462,Kegalle,92.91521487,256.3885714,34.875,508.5646781,861000
1463,Kilinochchi,91.66666667,563.1054545,24.04545455,93.82329945,120000
1464,Kurunegala,63.93244873,299.2917073,32.80745342,344.269103,1658000
1465,Mannar,38.46153846,426.6694737,17.8115942,52.10420842,104000
1466,Matale,35.85657371,279.075,33.5,251.8815855,502000
1467,Matara,51.3739546,239.4981818,25.07142857,652.3772408,837000
1468,Moneragala,48.72881356,308.522449,34.47894737,83.70278418,472000
1469,Mullaitivu,63.82978723,532.1305263,31.76190476,35.91899121,94000
1470,Nuwara Eliya,18.91891892,254.36,31.47272727,425.0430787,740000
1471,Polonnaruwa,59.66587112,397.3333333,31.80530973,127.2395991,419000
1472,Puttalam,97.46835443,326.112,20.08910891,257.1614583,790000
1473,Ratnapura,82.51996451,318.5952,33.02752294,344.1221374,1127000
1474,Trincomalee,37.78337531,492.84,35.65517241,145.5812248,397000
1475,Vavuniya,89.38547486,467.024,33.07575758,91.00152517,179000
1476,Ampara,8.862629247,204.4294737,33.15646259,152.7871812,677000
1477,Anuradhapura,20.15677492,183.284,31.58723404,124.3905836,893000
1478,Badulla,16.58767773,175.7563636,30.86315789,295.0017476,844000
1479,Batticaloa,59.14972274,193.6069565,35.75609756,205.4690467,541000
1480,Colombo,275.7894737,244.32,25.2,3397.711016,2375000
1481,Galle,46.74610449,189.72,26.85185185,660.4116223,1091000
1482,Gampaha,55.64995752,308,24.35555556,1697.188176,2354000
1483,Hambantota,30.25477707,213.0171429,23.61363636,240.7052511,628000
1484,Jaffna,350.0837521,201.6,10.57575758,582.4390244,597000
1485,Kalutara,68.8,264.7885714,23.35849057,782.2277847,1250000
1486,Kandy,67.09039548,250.8126316,30.79032258,729.8969072,1416000
1487,Kegalle,62.71777003,229.2685714,36.51785714,508.5646781,861000
1488,Kilinochchi,33.33333333,190.7345455,23.54545455,93.82329945,120000
1489,Kurunegala,25.93486128,286.7121951,33,344.269103,1658000
1490,Mannar,96.15384615,150.6568421,17.95652174,52.10420842,104000
1491,Matale,25.89641434,259.56,32.58571429,251.8815855,502000
1492,Matara,31.06332139,229.2,25.07142857,652.3772408,837000
1493,Moneragala,42.37288136,182.6938776,35.43684211,83.70278418,472000
1494,Mullaitivu,10.63829787,168.8842105,31.26190476,35.91899121,94000
1495,Nuwara Eliya,13.51351351,169.58,29.69090909,425.0430787,740000
1496,Polonnaruwa,50.11933174,272.5333333,31.47787611,127.2395991,419000
1497,Puttalam,29.11392405,250.3488,19.91089109,257.1614583,790000
1498,Ratnapura,28.39396628,189.9936,34.75229358,344.1221374,1127000
1499,Trincomalee,37.78337531,219.3381818,34.68965517,145.5812248,397000
1500,Vavuniya,117.3184358,169.824,32.89393939,91.00152517,179000
