ID,Date,Province#,Temperature,L2,Total Eggs,Total Larvae,Total Puapae,Total Adults,Susceptable Eggs,Susceptable Larvae,Susceptable Puapae,Susceptable Adults,Latent Eggs,Latent Larvae,Latent Puapae,Latent Adults,Infected Eggs,Infected Larvae,Infected Puapae,Infected Adults,Susceptable Human,Latent Human,Infectious Human,Recovery Human,New Latent Human,New Infectious Human,DEN-1,DEN-2,DEN-3,DEN-4
117,2008-04-27,47,30.5,0.5151,117928,68644,11006,141363,0,0,0,47106,102018,36894,6135,47136,15910,31750,4871,47121,322902,27,176,0,0,12,0,203,0,0
118,2008-04-28,47,30.0,0.5151,124118,68189,10991,141482,0,0,0,47149,107278,36259,6096,47172,16840,31930,4895,47161,322932,13,160,0,0,14,0,173,0,0
119,2008-04-29,47,28.8,0.5151,141964,67148,11300,141655,0,0,0,47208,123365,35685,6240,47229,18599,31463,5060,47218,322961,0,144,0,0,13,0,144,0,0
120,2008-04-30,47,28.2,0.5151,150764,66390,11488,141891,0,0,0,47280,131620,35542,6358,47314,19144,30848,5130,47297,322979,0,126,0,0,0,0,126,0,0
121,2008-05-01,47,29.1,0.5151,143958,68969,11637,142297,0,0,0,47424,125538,37071,6479,47441,18420,31898,5158,47432,322997,0,108,0,0,0,0,108,0,0
122,2008-05-02,47,30.1,0.5151,127603,69584,11398,142696,0,0,0,47549,110737,37411,6369,47582,16866,32173,5029,47565,323017,0,88,0,0,0,0,88,0,0
123,2008-05-03,47,30.5,0.5151,117499,68585,10981,142816,0,0,0,47574,101458,36698,6124,47637,16041,31887,4857,47605,323034,0,71,0,0,0,0,71,0,0
124,2008-05-04,47,31.6,0.5151,94240,65514,9958,142090,0,0,0,47357,80479,35177,5555,47370,13761,30337,4403,47363,323047,0,58,0,0,0,0,58,0,0
125,2008-05-05,47,29.2,0.5151,132100,66627,10558,141678,0,0,0,47222,114033,34964,5802,47230,18067,31663,4756,47226,323066,0,39,0,0,0,0,39,0,0
126,2008-05-06,47,30.2,0.5151,122855,68784,10749,141612,0,0,0,47200,106296,36780,5938,47208,16559,32004,4811,47204,323078,0,27,0,0,0,0,27,0,0
127,2008-05-07,47,29.0,0.5151,139576,67517,11175,141708,0,0,0,47235,121189,35871,6162,47237,18387,31646,5013,47236,323092,0,13,0,0,0,0,13,0,0
128,2008-05-08,47,30.0,0.5151,127997,69242,11181,141981,0,0,0,47322,111022,37128,6204,47332,16975,32114,4977,47327,323105,0,0,0,0,0,0,0,0,0
129,2008-05-09,47,30.1,0.5151,124517,68774,11100,142188,0,0,0,47396,107750,36728,6161,47396,16767,32046,4939,47396,323105,0,0,0,0,0,0,0,0,0
130,2008-05-10,47,29.9,0.5151,127509,68685,11131,142371,0,0,0,47457,110359,36584,6166,47457,17150,32101,4965,47457,323105,0,0,0,0,0,0,0,0,0
131,2008-05-11,47,27.3,0.5151,152374,63019,11124,142308,0,0,0,47436,133064,33580,6140,47436,19310,29439,4984,47436,323105,0,0,0,0,0,0,0,0,0
132,2008-05-12,47,28.9,0.5151,146820,68685,11433,142485,0,0,0,47495,128129,36928,6359,47495,18691,31757,5074,47495,323105,0,0,0,0,0,0,0,0,0
133,2008-05-13,47,30.0,0.5151,129951,69755,11367,142794,0,0,0,47598,112873,37524,6352,47598,17078,32231,5015,47598,323105,0,0,0,0,0,0,0,0,0
134,2008-05-14,47,28.6,0.5151,146278,67251,11557,143016,0,0,0,47672,127316,35823,6421,47672,18962,31428,5136,47672,323105,0,0,0,0,0,0,0,0,0
135,2008-05-15,47,28.8,0.5151,147494,68443,11700,143361,0,0,0,47787,128610,36680,6507,47787,18884,31763,5193,47787,323105,0,0,0,0,0,0,0,0,0
136,2008-05-16,47,27.0,0.5151,157830,62950,11406,143391,0,0,0,47797,138413,33850,6344,47797,19417,29100,5062,47797,323105,0,0,0,0,0,0,0,0,0
137,2008-05-17,47,26.2,0.5151,158742,60141,10841,143043,0,0,0,47681,139946,32625,6055,47681,18796,27516,4786,47681,323105,0,0,0,0,0,0,0,0,0
138,2008-05-18,47,26.5,0.5151,159455,61248,10629,142512,0,0,0,47504,140448,33235,5964,47504,19007,28013,4665,47504,323105,0,0,0,0,0,0,0,0,0
139,2008-05-19,47,26.3,0.5151,158587,60377,10436,141861,0,0,0,47287,139835,32807,5871,47287,18752,27570,4565,47287,323105,0,0,0,0,0,0,0,0,0
